 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,149,2,2,64,96,32,32,32,0,48,48,48,0,1073825.503,26845.63758,49.66666667,80.82903769,143,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,13422.81879,13422.81879,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,136,2,2,72,104,36,36,36,0,52,52,52,0,1294117.647,29411.76471,45.33333333,72.45918391,129,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,14705.88235,14705.88235,36,52,42.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53,36,52,40,0,0,0,0,0,0,2,72,2,104,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
22,12810827,21,33,2008,2745,640,0,95.61904762,140.0451628,976,0,83.18181818,217.2857356,371.0142991,4.215184547,241713.717,660363.3702,2355235,1,10400000,520583.75,910895.6264,2397864,1,12800000,400336.8125,816193.6187,2355235,3,0,0,0,0,680,1064,1.639238435,2.575946112,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,95.61904762,83.18181818,680,0,0,0,0,0,0,21,2008,33,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
80,42,1,1,0,0,0,0,0,0,0,0,0,0,0,47619.04762,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23809.52381,23809.52381,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,257,235,0,32,0,0,0,0,0,0,0,0,Web Attack � Sql Injection
80,4668876,5,0,30,0,6,6,6,0,0,0,0,0,6.425529399,1.070921567,1167219,2331112.571,4663887,2,4668876,1167219,2331112.571,4663887,2,0,0,0,0,0,0,0,0,0,100,0,1.070921567,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDoS
21,221,2,1,14,0,14,0,7,9.899494937,0,0,0,0,63348.41629,13574.66063,110.5,40.30508653,139,82,221,221,0,221,221,0,0,0,0,0,1,0,0,0,64,20,9049.773756,4524.886878,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
1059,56,2,2,4,12,2,2,2,0,6,6,6,0,285714.2857,71428.57143,18.66666667,26.38812864,49,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,48,40,35714.28571,35714.28571,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2,6,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0,0,0,0,0,0,0,0,BENIGN
443,14508821,10,10,1392,7569,517,0,139.2,202.5261574,1844,0,756.9,773.1184256,617.6242715,1.378471759,763622.1579,2401024.44,9800588,14,10100000,1127620.889,3253089.897,9800588,141,14500000,1608776.667,3462401.277,10000000,84,0,0,0,0,212,224,0.689235879,0.689235879,0,1844,426.7142857,626.3990855,392375.8143,0,0,0,1,0,0,0,0,1,448.05,139.2,756.9,212,0,0,0,0,0,0,10,1392,10,7569,8192,118,5,20,348000,0,348000,348000,9800588,0,9800588,9800588,BENIGN
80,78484443,8,6,56,11607,20,0,7,5.656854249,5840,0,1934.5,2375.523332,148.6026982,0.1783793,6037264.846,18900000,68400000,3,78400000,11200000,25500000,68400000,3,79710,15942,35154.18261,78825,3,0,0,0,0,172,132,0.101931029,0.076448271,0,5840,777.9333333,1723.622534,2970874.638,0,0,0,0,1,0,0,0,0,833.5,7,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,990,0,990,990,39200000,41300000,68400000,9978713,DDoS
443,714069,8,8,896,5076,570,0,112,200.1513713,1460,0,634.5,691.1572077,8363.337437,22.40679822,47604.6,89901.98876,361168,1,659529,94218.42857,118837.5232,361168,22580,663105,94729.28571,161617.9846,441504,1,0,0,0,0,172,172,11.20339911,11.20339911,0,1460,351.2941176,550.4235602,302966.0956,0,0,0,1,0,0,0,0,1,373.25,112,634.5,172,0,0,0,0,0,0,8,896,8,5076,8192,40,3,20,0,0,0,0,0,0,0,0,BENIGN
80,5992680,3,1,0,0,0,0,0,0,0,0,0,0,0,0.667480993,1997560,3459196.461,5991896,87,5992680,2996340,4236355.922,5991896,784,0,0,0,0,0,0,0,0,0,104,40,0.500610745,0.166870248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
443,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
1032,54,1,1,0,6,0,0,0,0,6,6,6,0,111111.1111,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,18518.51852,18518.51852,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
21,238,2,1,14,0,14,0,7,9.899494937,0,0,0,0,58823.52941,12605.04202,119,66.46803743,166,72,238,238,0,238,238,0,0,0,0,0,1,0,0,0,64,20,8403.361345,4201.680672,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
53,67247,4,2,188,350,47,47,47,0,175,175,175,0,8000.356893,89.22331108,13449.4,20399.48129,46039,3,46045,15348.33333,26578.89699,46039,3,3,3,0,3,3,0,0,0,0,80,40,59.48220738,29.74110369,47,175,83.57142857,62.45760467,3900.952381,0,0,0,0,0,0,0,0,0,97.5,47,175,80,0,0,0,0,0,0,4,188,2,350,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
53,83673,4,2,120,264,30,30,30,0,132,132,132,0,4589.294038,71.70771934,16734.6,24076.51687,52302,3,31367,10455.66667,18103.68372,31360,3,4,4,0,4,4,0,0,0,0,80,40,47.80514622,23.90257311,30,132,59.14285714,49.77090372,2477.142857,0,0,0,0,0,0,0,0,0,69,30,132,80,0,0,0,0,0,0,4,120,2,264,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
5397,311,3,1,83,6,46,6,27.66666667,20.20725942,6,6,6,0,286173.6334,12861.73633,103.6666667,50.30241876,148,49,311,155.5,150.6137444,262,49,0,0,0,0,0,1,0,0,0,60,20,9646.302251,3215.434084,6,46,27,20.1246118,405,0,1,0,0,1,0,0,0,0,33.75,27.66666667,6,60,0,0,0,0,0,0,3,83,1,6,132,0,2,20,0,0,0,0,0,0,0,0,BENIGN
80,319188,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,36426.80803,21.93064902,53198,122741.9685,303441,31,15458,7729,10634.88599,15249,209,319157,106385.6667,170827.4244,303441,183,0,0,0,0,72,92,9.398849581,12.53179944,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
8080,992799,3,3,0,18,0,0,0,0,6,6,6,0,18.13055815,6.043519383,198559.8,271220.8428,499487,483,992308,496154,5448.964856,500007,492301,992316,496158,5402.295808,499978,492338,0,0,0,0,92,60,3.021759692,3.021759692,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
443,4412576,5,1,117,41,45,0,23.4,21.96132965,41,41,41,0,35.80674871,1.359749951,882515.2,1956676.278,4382650,28,4412576,1103144,2186381.221,4382650,49,0,0,0,0,0,1,0,0,0,160,32,1.133124959,0.226624992,0,45,28.42857143,19.88179354,395.2857143,0,1,0,0,1,0,0,0,0,33.16666667,23.4,41,160,0,0,0,0,0,0,5,117,1,41,287,118,2,32,0,0,0,0,0,0,0,0,BENIGN
53,69898,1,1,56,272,56,56,56,0,272,272,272,0,4692.552004,28.61312198,69898,0,69898,69898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.30656099,14.30656099,56,272,128,124.7076581,15552,0,0,0,0,0,0,0,0,1,192,56,272,32,0,0,0,0,0,0,1,56,1,272,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
8080,72180,4,3,208,134,196,0,52,96.04165763,128,0,44.66666667,72.23111056,4738.154613,96.97977279,12030,28467.07217,70135,37,72180,24060,41017.25914,71421,37,70742,35371,49163.72028,70135,607,0,0,0,0,92,72,55.41701302,41.56275977,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,0,48.85714286,52,44.66666667,92,0,0,0,0,0,0,4,208,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
443,4845925,5,1,135,46,46,6,27,20.1246118,46,46,46,0,37.35097015,1.238153706,969185,2053303.396,4639418,4,4845925,1211481.25,2287346.023,4639418,4,0,0,0,0,0,1,0,0,0,100,20,1.031794755,0.206358951,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27,46,100,0,0,0,0,0,0,5,135,1,46,30455,41,4,20,0,0,0,0,0,0,0,0,BENIGN
45500,48,2,2,12,4,6,6,6,0,2,2,2,0,333333.3333,83333.33333,16,16.09347694,33,1,48,48,0,48,48,1,1,0,1,1,0,0,0,0,40,48,41666.66667,41666.66667,2,6,4.4,2.19089023,4.8,1,0,0,0,1,0,0,0,1,5.5,6,2,40,0,0,0,0,0,0,2,12,2,4,0,1024,1,20,0,0,0,0,0,0,0,0,BENIGN
53,272236,1,1,40,92,40,40,40,0,92,92,92,0,484.8734187,7.346566949,272236,0,272236,272236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.673283475,3.673283475,40,92,57.33333333,30.022214,901.3333333,0,0,0,0,0,0,0,0,1,86,40,92,32,0,0,0,0,0,0,1,40,1,92,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,169,2,2,46,46,23,23,23,0,23,23,23,0,544378.6982,23668.63905,56.33333333,95.84014469,167,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,11834.31953,11834.31953,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,10672447,126,188,1704,321721,421,0,13.52380952,68.51320623,4170,0,1711.281915,766.9986302,30304.67146,29.42155627,34097.27476,564069.3653,9976757,1,10700000,85378.64,892288.3494,9976898,3,10700000,56965.85027,729737.313,9976764,1,0,0,0,0,4044,6024,11.8061022,17.61545408,0,4170,1026.746032,1023.761401,1048087.407,0,0,0,1,0,0,0,0,1,1030.015924,13.52380952,1711.281915,4044,0,0,0,0,0,0,126,1704,188,321721,65535,31,7,32,695432,0,695432,695432,9976757,0,9976757,9976757,BENIGN
1034,50,1,1,2,6,2,2,2,0,6,6,6,0,160000,40000,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,20000,20000,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
53,208,2,2,62,190,31,31,31,0,95,95,95,0,1211538.462,19230.76923,69.33333333,36.95041723,112,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,9615.384615,9615.384615,31,95,56.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,70.75,31,95,64,0,0,0,0,0,0,2,62,2,190,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
8080,1029901,3,3,0,18,0,0,0,0,6,6,6,0,17.47740802,5.825802674,205980.2,281282.3053,515134,495,1029319,514659.5,1371.080049,515629,513690,1029294,514647,1511.794298,515716,513578,0,0,0,0,92,60,2.912901337,2.912901337,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
80,110567,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,105212.2243,72.3543191,15795.28571,41272.90956,109391,5,1000,500,517.6021638,866,134,110553,27638.25,54558.5615,109474,5,0,0,0,0,72,112,27.13286966,45.22144944,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,449733,5,0,30,0,6,6,6,0,0,0,0,0,66.70624571,11.11770762,112433.25,221916.6002,445301,1,449733,112433.25,221916.6002,445301,1,0,0,0,0,0,0,0,0,0,100,0,11.11770762,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDoS
80,6255296,5,0,30,0,6,6,6,0,0,0,0,0,4.795936116,0.799322686,1563824,3126459.358,6253513,313,6255296,1563824,3126459.358,6253513,313,0,0,0,0,0,0,0,0,0,100,0,0.799322686,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1783,0,1783,1783,6253513,0,6253513,6253513,DDoS
80,11415673,4,0,24,0,6,6,6,0,0,0,0,0,2.102372764,0.350395461,3805224.333,6590838.415,11400000,1,11400000,3805224.333,6590838.415,11400000,1,0,0,0,0,0,0,0,0,0,80,0,0.350395461,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,4,0,4,4,11400000,0,11400000,11400000,DDoS
3814,55,1,1,2,6,2,2,2,0,6,6,6,0,145454.5455,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,18181.81818,18181.81818,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
80,73641217,8,6,56,11601,20,0,7,5.656854249,4380,0,1933.5,1757.789948,158.2945051,0.190110927,5664709,19400000,70100000,2,72700000,10400000,26300000,70100000,2,998071,199614.2,433235.2564,974403,15,0,0,0,0,172,132,0.108634815,0.081476111,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,2582055,0,2582055,2582055,70100000,0,70100000,70100000,DDoS
21,10158642,9,15,105,188,23,0,11.66666667,9.300537619,34,0,12.53333333,14.54975045,28.8424378,2.362520502,441680.087,1150701.122,3524577,3,6590947,823868.375,1526710.131,3492978,273,10200000,725611.9286,1420897.319,3524577,3,0,0,0,0,296,488,0.885945188,1.476575314,0,34,11.72,12.58808961,158.46,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,296,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
21,8729573,9,15,115,188,29,0,12.77777778,10.77935269,34,0,12.53333333,14.54975045,34.70960149,2.749275365,379546.6522,960855.5586,3108806,3,5578819,697352.375,1227303.645,2808541,220,8729511,623536.5,1182628.783,3108806,3,0,0,0,0,296,488,1.030978262,1.718297103,0,34,12.12,12.98499134,168.61,0,0,0,1,0,0,0,0,1,12.625,12.77777778,12.53333333,296,0,0,0,0,0,0,9,115,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
80,618357,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,18812.75703,12.93751021,88336.71429,233247.4441,617292,1,724,362,510.531096,723,1,618235,154558.75,308488.9936,617292,6,0,0,0,0,72,112,4.851566328,8.08594388,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
51433,180,1,3,6,18,6,6,6,0,6,6,6,0,133333.3333,22222.22222,60,58.02585631,119,3,0,0,0,0,0,61,30.5,38.89087297,58,3,0,0,0,0,20,60,5555.555556,16666.66667,6,6,6,0,0,0,0,0,0,1,1,0,0,3,7.5,6,6,20,0,0,0,0,0,0,1,6,3,18,256,389,0,20,0,0,0,0,0,0,0,0,BENIGN
21,241,2,1,14,0,14,0,7,9.899494937,0,0,0,0,58091.28631,12448.13278,120.5,64.34671709,166,75,241,241,0,241,241,0,0,0,0,0,1,0,0,0,64,20,8298.755187,4149.377593,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
80,5412219,3,1,0,0,0,0,0,0,0,0,0,0,0,0.739068393,1804073,3123976.218,5411330,108,5412219,2706109.5,3825759.52,5411330,889,0,0,0,0,0,0,0,0,0,104,40,0.554301295,0.184767098,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
22,43,1,1,0,0,0,0,0,0,0,0,0,0,0,46511.62791,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23255.81395,23255.81395,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
444,5005212,15,15,0,90,0,0,0,0,6,6,6,0,17.98125634,5.993752113,172593.5172,241196.3685,513363,297,5004692,357478,233594.2419,513925,771,5004624,357473.1429,233602.7404,513927,832,0,0,0,0,460,300,2.996876056,2.996876056,0,6,2.903225806,3.048003048,9.290322581,0,0,0,1,0,0,0,0,1,3,0,6,460,0,0,0,0,0,0,15,0,15,90,8192,0,0,28,0,0,0,0,0,0,0,0,Infiltration
49176,72,2,2,4,12,2,2,2,0,6,6,6,0,222222.2222,55555.55556,24,23.06512519,48,2,48,48,0,48,48,2,2,0,2,2,0,0,0,0,48,40,27777.77778,27777.77778,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2,6,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0,0,0,0,0,0,0,0,BENIGN
